Iteration   Continuity  Energy  
451        0.0580601       0.0778812
452        0.0524543       0.0816323
453        0.0449227       0.0826138
454        0.0500227       0.0796097
455        0.0424874       0.0778773
456        0.0614467       0.08099
457        0.0601292       0.0800441
458        0.0504785       0.077544
459        0.0462389       0.0779419
460        0.0571595       0.0813071
461        0.0609167       0.0799137
462        0.049884       0.0761752
463        0.057883       0.0781649
464        0.0510105       0.0802493
465        0.0451108       0.0770113
466        0.0591422       0.0746215
467        0.0456691       0.0757514
468        0.0631044       0.0798362
469        0.0569439       0.0779742
470        0.0443934       0.0712793
471        0.0601096       0.0748444
472        0.0416072       0.0765603
473        0.0517701       0.073469
474        0.042906       0.0698413
475        0.0360787       0.0633323
476        0.0463093       0.0715251
477        0.0396924       0.0729842
478        0.0444038       0.0671801
479        0.0400157       0.0619461
480        0.0470023       0.0608281
481        0.0526308       0.066914
482        0.0502859       0.0657603
483        0.0486208       0.0598317
484        0.0319628       0.0552122
485        0.0449359       0.056994
486        0.0517964       0.0612075
487        0.06402       0.0807737
488        0.0326865       0.05592
489        0.0378373       0.0550297
490        0.0557139       0.0612164
491        0.0463376       0.0567364
492        0.0403901       0.0545596
493        0.0415879       0.0502433
494        0.0516228       0.0663509
495        0.0462678       0.0593902
496        0.0599974       0.0757495
497        0.0359479       0.0531222
498        0.0389945       0.0559283
499        0.0422907       0.0516377
500        0.0346979       0.0515634
501        0.0404031       0.0554745
502        0.0442731       0.0577947
503        0.0450486       0.0532865
504        0.0353532       0.0548226
505        0.0398519       0.053321
506        0.0293082       0.0498855
507        0.063935       0.0813577
508        0.0410695       0.0534021
509        0.0419478       0.0507526
510        0.0373204       0.0519663
511        0.0290325       0.0534055
512        0.0453628       0.058291
513        0.0269498       0.0494668
514        0.0396116       0.0535896
515        0.0618492       0.0784028
516        0.0314233       0.0480262
517        0.0429195       0.0529173
518        0.0454893       0.0550122
519        0.0443401       0.0547161
520        0.0506488       0.0618908
521        0.0405829       0.0524106
522        0.0445585       0.0558145
523        0.0435555       0.0541182
524        0.0348081       0.0515395
525        0.0351356       0.0499996
526        0.0399295       0.0525813
527        0.0470058       0.0514868
528        0.0509477       0.050735
529        0.0568356       0.0844118
530        0.0354075       0.0499205
531        0.0329981       0.0504217
532        0.0453686       0.0517403
533        0.0488044       0.0662355
534        0.0370915       0.049841
535        0.0456523       0.0574545
536        0.0431321       0.0529917
537        0.0473204       0.0659927
538        0.0379377       0.0485936
539        0.0425976       0.0554457
540        0.0455007       0.0632012
541        0.0437808       0.0549744
542        0.0432922       0.054776
543        0.0621239       0.0807083
544        0.045214       0.0576842
545        0.0405091       0.0465018
546        0.0618129       0.0787752
547        0.0468874       0.0547357
548        0.0477339       0.0635048
549        0.0459659       0.0611405
550        0.0463172       0.0563605
551        0.048668       0.0599385
552        0.0415452       0.0543849
553        0.057097       0.0716486
554        0.0397705       0.0523561
555        0.037627       0.0526539
556        0.0480489       0.0631386
557        0.0573281       0.0730321
558        0.0385817       0.0509847
559        0.0360927       0.0423705
560        0.0415861       0.054356
561        0.0412667       0.0495928
562        0.0468202       0.0601687
563        0.0467454       0.0575297
564        0.066951       0.0863054
565        0.0368225       0.0507814
566        0.0420891       0.0549424
567        0.0342715       0.0487803
568        0.0375308       0.0454161
569        0.044455       0.0605253
570        0.0504517       0.0624875
571        0.0517578       0.0685173
572        0.0324523       0.0428018
573        0.060725       0.0749236
574        0.0523509       0.0707427
575        0.0359149       0.0450496
576        0.0368902       0.0475131
577        0.0493577       0.0645289
578        0.0378168       0.0462004
579        0.0405494       0.0502749
580        0.0550644       0.0729102
581        0.0411958       0.0505446
582        0.0334088       0.0424765
583        0.0538529       0.0676577
584        0.0351557       0.0441484
585        0.0349902       0.042789
586        0.0241581       0.0383582
587        0.0291658       0.0389039
588        0.0391215       0.048121
589        0.0322901       0.0397165
590        0.0388003       0.0452056
591        0.0484987       0.0609308
592        0.0272324       0.0371276
593        0.0391461       0.0548027
594        0.0357427       0.0436063
595        0.0375354       0.0417385
596        0.043088       0.054269
597        0.0372779       0.0413541
598        0.0577932       0.0732116
599        0.0313441       0.0458018
600        0.0226115       0.0354895
601        0.0274612       0.0365493
602        0.0433107       0.0556261
603        0.0296606       0.0417418
604        0.0429883       0.0498185
605        0.0368472       0.0470869
606        0.0276767       0.0353268
607        0.0423485       0.0542271
608        0.0563348       0.0717499
609        0.0215772       0.0339766
610        0.0302268       0.0371277
611        0.0404438       0.0513634
612        0.0454351       0.0536008
613        0.0290569       0.0355222
614        0.031758       0.0351625
615        0.0390075       0.0498055
616        0.0442586       0.0544264
617        0.0242763       0.0341578
618        0.0573267       0.0732525
619        0.0386333       0.0496391
620        0.030601       0.0346776
621        0.0193325       0.034786
622        0.0366886       0.0460708
623        0.0508497       0.0577718
624        0.0228597       0.0355971
625        0.0417751       0.0519768
626        0.0554901       0.0709949
627        0.025784       0.0363072
628        0.0218923       0.0327111
629        0.0227176       0.034733
630        0.0383527       0.0487292
631        0.0375368       0.0443379
